Freq.	V(out_preamp)
1.51008015416413e+00	(-5.74727826560824e+00dB,-1.79992712178400e+02°)
1.51356124843619e+00	(-5.74727826520675e+00dB,-1.79992695378237e+02°)
1.51705036745932e+00	(-5.74727826480341e+00dB,-1.79992678539345e+02°)
1.52054752973248e+00	(-5.74727826439821e+00dB,-1.79992661661635e+02°)
1.52405275379728e+00	(-5.74727826399114e+00dB,-1.79992644745018e+02°)
1.52756605823806e+00	(-5.74727826358219e+00dB,-1.79992627789405e+02°)
1.53108746168202e+00	(-5.74727826317135e+00dB,-1.79992610794704e+02°)
1.53461698279928e+00	(-5.74727826275862e+00dB,-1.79992593760827e+02°)
1.53815464030302e+00	(-5.74727826234398e+00dB,-1.79992576687683e+02°)
1.54170045294954e+00	(-5.74727826192742e+00dB,-1.79992559575181e+02°)
1.54525443953840e+00	(-5.74727826150895e+00dB,-1.79992542423231e+02°)
1.54881661891247e+00	(-5.74727826108854e+00dB,-1.79992525231741e+02°)
1.55238700995807e+00	(-5.74727826066619e+00dB,-1.79992508000621e+02°)
1.55596563160506e+00	(-5.74727826024190e+00dB,-1.79992490729779e+02°)
1.55955250282694e+00	(-5.74727825981564e+00dB,-1.79992473419124e+02°)
1.56314764264094e+00	(-5.74727825938742e+00dB,-1.79992456068563e+02°)
1.56675107010813e+00	(-5.74727825895721e+00dB,-1.79992438678005e+02°)
1.57036280433354e+00	(-5.74727825852503e+00dB,-1.79992421247358e+02°)
1.57398286446620e+00	(-5.74727825809085e+00dB,-1.79992403776529e+02°)
1.57761126969933e+00	(-5.74727825765467e+00dB,-1.79992386265426e+02°)
1.58124803927037e+00	(-5.74727825721647e+00dB,-1.79992368713955e+02°)
1.58489319246110e+00	(-5.74727825677625e+00dB,-1.79992351122025e+02°)
1.58854674859776e+00	(-5.74727825633399e+00dB,-1.79992333489540e+02°)
1.59220872705115e+00	(-5.74727825588970e+00dB,-1.79992315816409e+02°)
1.59587914723672e+00	(-5.74727825544335e+00dB,-1.79992298102536e+02°)
1.59955802861465e+00	(-5.74727825499495e+00dB,-1.79992280347829e+02°)
1.60324539069002e+00	(-5.74727825454447e+00dB,-1.79992262552193e+02°)
1.60694125301286e+00	(-5.74727825409192e+00dB,-1.79992244715534e+02°)
1.61064563517825e+00	(-5.74727825363727e+00dB,-1.79992226837758e+02°)
1.61435855682647e+00	(-5.74727825318053e+00dB,-1.79992208918768e+02°)
1.61808003764305e+00	(-5.74727825272168e+00dB,-1.79992190958472e+02°)
1.62181009735891e+00	(-5.74727825226071e+00dB,-1.79992172956772e+02°)
1.62554875575047e+00	(-5.74727825179762e+00dB,-1.79992154913574e+02°)
1.62929603263970e+00	(-5.74727825133238e+00dB,-1.79992136828783e+02°)
1.63305194789432e+00	(-5.74727825086500e+00dB,-1.79992118702301e+02°)
1.63681652142779e+00	(-5.74727825039547e+00dB,-1.79992100534034e+02°)
1.64058977319952e+00	(-5.74727824992376e+00dB,-1.79992082323885e+02°)
1.64437172321491e+00	(-5.74727824944988e+00dB,-1.79992064071756e+02°)
1.64816239152549e+00	(-5.74727824897381e+00dB,-1.79992045777553e+02°)
1.65196179822900e+00	(-5.74727824849554e+00dB,-1.79992027441177e+02°)
1.65576996346951e+00	(-5.74727824801507e+00dB,-1.79992009062531e+02°)
1.65958690743754e+00	(-5.74727824753237e+00dB,-1.79991990641518e+02°)
1.66341265037015e+00	(-5.74727824704745e+00dB,-1.79991972178040e+02°)
1.66724721255104e+00	(-5.74727824656029e+00dB,-1.79991953671999e+02°)
1.67109061431069e+00	(-5.74727824607089e+00dB,-1.79991935123298e+02°)
1.67494287602642e+00	(-5.74727824557922e+00dB,-1.79991916531838e+02°)
1.67880401812254e+00	(-5.74727824508529e+00dB,-1.79991897897519e+02°)
1.68267406107045e+00	(-5.74727824458907e+00dB,-1.79991879220245e+02°)
1.68655302538872e+00	(-5.74727824409056e+00dB,-1.79991860499914e+02°)
1.69044093164324e+00	(-5.74727824358976e+00dB,-1.79991841736429e+02°)
1.69433780044731e+00	(-5.74727824308663e+00dB,-1.79991822929690e+02°)
1.69824365246172e+00	(-5.74727824258119e+00dB,-1.79991804079596e+02°)
1.70215850839493e+00	(-5.74727824207342e+00dB,-1.79991785186049e+02°)
1.70608238900310e+00	(-5.74727824156330e+00dB,-1.79991766248947e+02°)
1.71001531509027e+00	(-5.74727824105083e+00dB,-1.79991747268191e+02°)
1.71395730750840e+00	(-5.74727824053599e+00dB,-1.79991728243680e+02°)
1.71790838715757e+00	(-5.74727824001877e+00dB,-1.79991709175312e+02°)
1.72186857498599e+00	(-5.74727823949917e+00dB,-1.79991690062988e+02°)
1.72583789199018e+00	(-5.74727823897717e+00dB,-1.79991670906605e+02°)
1.72981635921508e+00	(-5.74727823845276e+00dB,-1.79991651706062e+02°)
1.73380399775412e+00	(-5.74727823792593e+00dB,-1.79991632461258e+02°)
1.73780082874935e+00	(-5.74727823739667e+00dB,-1.79991613172089e+02°)
1.74180687339159e+00	(-5.74727823686497e+00dB,-1.79991593838454e+02°)
1.74582215292048e+00	(-5.74727823633081e+00dB,-1.79991574460251e+02°)
1.74984668862464e+00	(-5.74727823579418e+00dB,-1.79991555037377e+02°)
1.75388050184174e+00	(-5.74727823525508e+00dB,-1.79991535569728e+02°)
1.75792361395867e+00	(-5.74727823471349e+00dB,-1.79991516057201e+02°)
1.76197604641161e+00	(-5.74727823416940e+00dB,-1.79991496499693e+02°)
1.76603782068614e+00	(-5.74727823362280e+00dB,-1.79991476897101e+02°)
1.77010895831740e+00	(-5.74727823307368e+00dB,-1.79991457249320e+02°)
1.77418948089014e+00	(-5.74727823252202e+00dB,-1.79991437556246e+02°)
1.77827941003890e+00	(-5.74727823196781e+00dB,-1.79991417817775e+02°)
1.78237876744807e+00	(-5.74727823141105e+00dB,-1.79991398033803e+02°)
1.78648757485203e+00	(-5.74727823085172e+00dB,-1.79991378204223e+02°)
1.79060585403527e+00	(-5.74727823028980e+00dB,-1.79991358328931e+02°)
1.79473362683250e+00	(-5.74727822972529e+00dB,-1.79991338407823e+02°)
1.79887091512876e+00	(-5.74727822915818e+00dB,-1.79991318440791e+02°)
1.80301774085955e+00	(-5.74727822858844e+00dB,-1.79991298427731e+02°)
1.80717412601090e+00	(-5.74727822801608e+00dB,-1.79991278368535e+02°)
1.81134009261958e+00	(-5.74727822744108e+00dB,-1.79991258263099e+02°)
1.81551566277311e+00	(-5.74727822686342e+00dB,-1.79991238111314e+02°)
1.81970085860996e+00	(-5.74727822628310e+00dB,-1.79991217913075e+02°)
1.82389570231961e+00	(-5.74727822570009e+00dB,-1.79991197668275e+02°)
1.82810021614272e+00	(-5.74727822511440e+00dB,-1.79991177376805e+02°)
1.83231442237119e+00	(-5.74727822452600e+00dB,-1.79991157038558e+02°)
1.83653834334832e+00	(-5.74727822393489e+00dB,-1.79991136653427e+02°)
1.84077200146893e+00	(-5.74727822334105e+00dB,-1.79991116221304e+02°)
1.84501541917945e+00	(-5.74727822274446e+00dB,-1.79991095742079e+02°)
1.84926861897805e+00	(-5.74727822214513e+00dB,-1.79991075215645e+02°)
1.85353162341479e+00	(-5.74727822154303e+00dB,-1.79991054641893e+02°)
1.85780445509167e+00	(-5.74727822093814e+00dB,-1.79991034020713e+02°)
1.86208713666284e+00	(-5.74727822033047e+00dB,-1.79991013351997e+02°)
1.86637969083464e+00	(-5.74727821971999e+00dB,-1.79990992635634e+02°)
1.87068214036577e+00	(-5.74727821910669e+00dB,-1.79990971871516e+02°)
1.87499450806739e+00	(-5.74727821849056e+00dB,-1.79990951059531e+02°)
1.87931681680324e+00	(-5.74727821787160e+00dB,-1.79990930199569e+02°)
1.88364908948977e+00	(-5.74727821724976e+00dB,-1.79990909291520e+02°)
1.88799134909627e+00	(-5.74727821662507e+00dB,-1.79990888335273e+02°)
1.89234361864495e+00	(-5.74727821599748e+00dB,-1.79990867330717e+02°)
1.89670592121112e+00	(-5.74727821536701e+00dB,-1.79990846277741e+02°)
1.90107827992327e+00	(-5.74727821473362e+00dB,-1.79990825176232e+02°)
1.90546071796322e+00	(-5.74727821409730e+00dB,-1.79990804026080e+02°)
1.90985325856621e+00	(-5.74727821345805e+00dB,-1.79990782827171e+02°)
1.91425592502106e+00	(-5.74727821281586e+00dB,-1.79990761579394e+02°)
1.91866874067026e+00	(-5.74727821217069e+00dB,-1.79990740282635e+02°)
1.92309172891013e+00	(-5.74727821152254e+00dB,-1.79990718936783e+02°)
1.92752491319091e+00	(-5.74727821087141e+00dB,-1.79990697541723e+02°)
1.93196831701690e+00	(-5.74727821021727e+00dB,-1.79990676097342e+02°)
1.93642196394658e+00	(-5.74727820956011e+00dB,-1.79990654603527e+02°)
1.94088587759275e+00	(-5.74727820889992e+00dB,-1.79990633060164e+02°)
1.94536008162263e+00	(-5.74727820823668e+00dB,-1.79990611467138e+02°)
1.94984459975802e+00	(-5.74727820757038e+00dB,-1.79990589824335e+02°)
1.95433945577537e+00	(-5.74727820690100e+00dB,-1.79990568131641e+02°)
1.95884467350596e+00	(-5.74727820622853e+00dB,-1.79990546388939e+02°)
1.96336027683602e+00	(-5.74727820555296e+00dB,-1.79990524596115e+02°)
1.96788628970682e+00	(-5.74727820487427e+00dB,-1.79990502753054e+02°)
1.97242273611482e+00	(-5.74727820419245e+00dB,-1.79990480859639e+02°)
1.97696964011183e+00	(-5.74727820350748e+00dB,-1.79990458915755e+02°)
1.98152702580507e+00	(-5.74727820281935e+00dB,-1.79990436921285e+02°)
1.98609491735734e+00	(-5.74727820212805e+00dB,-1.79990414876112e+02°)
1.99067333898716e+00	(-5.74727820143355e+00dB,-1.79990392780120e+02°)
1.99526231496885e+00	(-5.74727820073585e+00dB,-1.79990370633192e+02°)
1.99986186963271e+00	(-5.74727820003492e+00dB,-1.79990348435209e+02°)
2.00447202736513e+00	(-5.74727819933077e+00dB,-1.79990326186055e+02°)
2.00909281260870e+00	(-5.74727819862336e+00dB,-1.79990303885612e+02°)
2.01372424986236e+00	(-5.74727819791268e+00dB,-1.79990281533760e+02°)
2.01836636368153e+00	(-5.74727819719873e+00dB,-1.79990259130382e+02°)
2.02301917867824e+00	(-5.74727819648148e+00dB,-1.79990236675359e+02°)
2.02768271952125e+00	(-5.74727819576091e+00dB,-1.79990214168572e+02°)
2.03235701093619e+00	(-5.74727819503703e+00dB,-1.79990191609902e+02°)
2.03704207770569e+00	(-5.74727819430980e+00dB,-1.79990168999228e+02°)
2.04173794466950e+00	(-5.74727819357921e+00dB,-1.79990146336431e+02°)
2.04644463672464e+00	(-5.74727819284526e+00dB,-1.79990123621391e+02°)
2.05116217882553e+00	(-5.74727819210791e+00dB,-1.79990100853988e+02°)
