Frequency [Hz], Amplitude [dB], Phase [deg]
23187.03006879083, 41.29208, -213.735016
23449.03994305701, 41.160572, -215.271408
23714.01048861267, 41.342716, -212.048859
23981.97516058811, 41.242973, -212.9142
24252.967792151518, 41.254208, -210.865997
24527.022598780568, 41.267517, -210.442047
24804.174182582574, 41.292351, -211.427521
25084.457536663453, 41.31002, -211.584366
25367.90804954582, 41.338547, -211.27179
25654.561509637068, 41.281616, -211.274323
25944.454109748076, 41.330074, -210.033859
26237.622451663035, 41.376553, -209.565887
26534.103550760614, 41.35873, -209.809906
26833.934840687616, 41.297226, -210.115921
27137.154178085206, 41.35775, -210.340363
27443.799847368748, 41.307156, -209.341583
27753.91056556174, 41.361526, -209.159103
28067.525487184088, 41.304142, -209.4702
28384.684209195642, 41.312683, -208.705643
28705.426775995806, 41.305397, -209.997955
29029.79368447965, 41.240856, -209.133942
29357.82588915094, 41.318333, -208.718933
29689.56480729286, 41.291023, -209.343521
30025.052324197753, 41.266006, -208.427582
30364.330798455096, 41.289654, -207.607147
30707.443067300086, 41.301933, -207.547638
31054.4324520221, 41.25576, -207.552948
31405.342763434295, 41.248291, -207.146881
31760.218307405277, 41.217865, -206.584991
32119.10389045328, 41.072025, -205.103607
32482.044825403314, 41.131065, -206.270905
32849.08693710821, 41.232933, -206.32077
33220.27656823458, 41.075947, -206.163849
33595.66058511418, 41.239815, -206.454025
33975.28638366104, 41.116905, -205.070801
34359.20189535582, 41.133957, -207.21492
34747.455593297374, 41.229919, -207.104431
35140.09649832313, 41.12727, -203.54863
35537.174185198586, 40.938972, -204.61348
35938.73878887645, 41.017826, -203.024628
36344.841010826574, 41.087578, -204.053574
36755.532125437596, 41.345043, -205.030151
37170.86398649101, 41.264263, -208.027588
37590.889033708, 41.485363, -205.842377
38015.66029937062, 41.197525, -206.424973
38445.231415017384, 41.302368, -207.239136
38879.65661821497, 41.088505, -201.769943
39318.99075940633, 40.855362, -203.355591
39763.28930883605, 41.172852, -204.477051
40212.608363553736, 40.613792, -200.407272
40667.004654497054, 41.197601, -202.702911
41126.5355536547, 40.776791, -203.034805
41591.259081310025, 40.850121, -201.945908
42061.2339133664, 40.799892, -200.646362
42536.51938875622, 40.75309, -200.426605
43017.17551693237, 40.671539, -200.964462
43503.26298544555, 40.703281, -201.237061
43994.84316760648, 40.723019, -201.597397
44491.97813023466, 40.521023, -199.686676
44994.73064149512, 40.517597, -196.35643
45503.16417882367, 40.539051, -203.533066
46017.34293694138, 40.66848, -197.969742
46537.331835959645, 40.393555, -198.370331
47063.196529577086, 40.542606, -196.990753
47595.00341336925, 40.444088, -197.549393
48132.81963317137, 40.416466, -197.958282
48676.71309355639, 40.431961, -198.255768
49226.75246640829, 40.402618, -198.23761
49783.00719959278, 40.417908, -197.526001
50345.54752572596, 40.370651, -197.245178
50914.444471041716, 40.294342, -197.111389
51489.769864359245, 40.183815, -197.112305
52071.596346152335, 40.104729, -196.551437
52659.99737772119, 40.007034, -196.50769
53255.04725046729, 39.939205, -195.811035
53856.82109527365, 39.923561, -196.251175
54465.39489199047, 39.94986, -195.80069
55080.845479028605, 39.728294, -195.162918
55703.25056306133, 39.75069, -195.122528
56332.68872883539, 39.723881, -193.764648
56969.23944909287, 39.654152, -192.482727
57612.983094605595, 39.412331, -194.165176
58264.000944323, 39.520897, -192.536423
58922.37519563415, 39.398029, -192.217529
59588.188974745615, 39.355759, -192.52095
60261.52634717777, 39.369286, -192.227631
60942.472328378004, 39.227097, -192.637634
61631.11289445552, 39.048012, -192.652359
62327.53499303634, 39.01894, -191.692062
63031.826554241045, 38.950523, -191.47403
63744.07650178706, 39.080887, -190.467072
64464.3747642164, 39.008423, -189.776962
65192.81228624977, 38.679283, -191.062546
65929.48104026898, 38.621609, -190.243927
66674.47403792958, 38.541962, -189.45076
67427.88534190485, 38.377342, -189.219315
68189.81007776163, 38.368652, -183.451645
68960.3444459712, 38.311005, -188.071609
69739.5857340551, 38.389938, -189.301743
70527.63232886887, 38.118744, -184.901459
71324.5837290247, 37.881096, -179.370758
72130.54055745379, 37.797607, -183.086807
72945.60457411071, 37.823708, -186.903091
73769.87868882185, 37.65147, -184.408417
74603.46697427912, 37.23616, -182.642792
75446.47467917968, 37.713615, -185.941101
76299.00824151497, 37.248795, -197.893219
77161.17530200904, 37.45784, -184.550995
78033.08471770957, 37.584099, -188.590378
78914.84657573243, 36.92741, -182.090302
79806.57220716102, 37.097118, -180.667191
80708.3742011025, 37.304192, -186.90593
81620.36641890366, 36.670593, -180.376892
82542.66400852728, 36.708954, -180.407608
83475.38341909047, 36.683701, -180.035812
84418.6424155671, 36.598846, -180.412201
85372.5600936571, 36.406773, -178.951996
86337.2568948239, 36.173759, -177.502594
87312.85462150072, 36.139915, -177.05043
88299.47645246977, 35.962822, -176.268066
89297.24695841415, 36.10606, -173.593872
90306.29211764658, 35.838821, -176.037552
91326.73933201563, 35.472435, -174.322067
92358.71744299126, 35.58194, -173.579895
93402.35674793179, 35.506538, -174.662369
94457.78901653567, 35.387783, -173.579041
95525.14750747907, 35.106476, -171.009933
96604.56698524048, 34.857971, -172.744217
97696.18373711655, 34.739616, -169.202164
98800.13559042895, 34.661446, -172.116852
99916.56192992692, 34.526863, -169.024841
101045.60371538636, 34.479015, -169.661713
102187.4034994069, 34.168121, -173.860291
103342.10544541027, 34.211403, -173.141388
104509.85534584269, 34.152351, -161.37973
105690.80064058301, 33.910675, -169.779663
106885.09043555803, 33.273083, -168.599426
108092.87552156797, 33.624844, -167.408173
109314.30839332676, 33.040733, -164.693619
110549.5432687143, 33.273605, -150.464584
111798.73610824943, 32.932945, -172.474518
113062.0446347809, 32.260448, -164.69278
114339.62835340099, 32.673401, -161.827332
115631.6485715849, 31.787981, -170.547256
116938.26841955802, 31.909115, -161.300354
118259.65287089221, 31.460924, -159.102295
119595.96876333484, 31.97716, -159.378662
120947.38481987412, 31.509541, -158.214523
122314.07167004263, 31.211702, -158.069305
123696.20187146016, 31.007822, -154.415146
125093.94993162132, 31.02277, -160.208252
126507.49232992808, 31.403759, -157.420853
127937.0075399725, 31.224316, -157.948105
129382.67605207131, 31.081764, -159.06955
130844.68039605407, 31.368256, -159.909805
132323.2051643088, 31.101772, -155.739258
133818.43703508915, 31.38908, -157.093094
135330.56479608483, 31.413437, -157.811401
136859.77936825715, 31.105324, -159.869736
138406.27382994528, 31.578472, -157.284149
139970.24344124322, 31.396286, -158.125763
141551.88566865414, 31.3179, -160.194565
143151.40021002287, 31.322632, -164.391754
144768.9890197491, 31.632748, -156.978088
146404.85633428575, 31.538862, -150.080124
148059.2086979261, 31.625114, -161.191116
149732.25498888287, 31.282175, -157.597656
151424.2064456604, 31.414108, -157.124588
153135.27669372485, 31.497108, -159.371323
154865.68177247836, 31.528946, -162.236923
156615.64016253402, 31.198263, -157.14978
158385.37281330305, 31.714073, -158.940689
160175.10317089115, 31.96841, -158.860168
161985.05720630992, 31.810169, -159.792542
163815.46344400875, 31.927691, -159.83429
165666.55299072873, 31.784626, -159.025742
167538.5595646816, 31.882238, -159.452423
169431.71952505838, 31.919167, -158.612915
171346.27190187245, 31.945492, -160.282639
173282.45842614037, 31.570084, -158.911591
175240.52356040163, 31.963102, -158.676682
177220.71452958527, 31.604738, -160.940292
179223.28135222313, 31.946251, -162.073441
181248.47687201816, 31.891687, -161.925552
183296.55678976892, 32.076515, -158.872009
185367.77969565373, 31.806034, -160.546631
187462.40710187942, 31.776073, -161.860718
189580.7034757004, 31.800272, -160.25473
191722.93627281138, 32.098404, -153.238373
193889.37597111473, 31.917145, -160.244614
196080.296104872, 31.977812, -161.460861
198295.97329923898, 32.124496, -158.209137
200536.68730519328, 31.969254, 189.263245
202802.72103485625, 32.43745, -162.519669
205094.36059721274, 32.269901, -159.616898
207411.89533423437, 32.344898, -160.40834
209755.61785741246, 32.364532, -162.766617
212125.82408470404, 32.058235, -162.499634
214522.81327789358, 31.983049, -164.803009
216946.88808037643, 32.068035, -162.699631
219398.35455537343, 31.448627, -164.502274
221877.52222457106, 31.241508, -154.660736
224384.70410720457, 31.538126, -158.152313
226920.21675957847, 31.887157, -149.658096
229484.38031503386, 31.932549, -164.489655
232077.5185243694, 32.504307, -159.44133
234699.95879671894, 32.379204, -158.236908
237352.03224088918, 32.557835, -159.35408
240034.07370716444, 32.727673, -159.05336
242746.4218295858, 32.461014, -159.560089
245489.4190687079, 32.904812, -157.405365
248263.41175483647, 32.650005, -158.567688
251068.750131757, 32.884766, -160.379242
253905.78840095483, 32.810913, -168.681778
256774.8847663376, 32.657562, -155.047028
259676.4014794631, 32.819717, -162.116074
262610.70488527603, 32.896072, -160.305481
265578.1654683616, 32.571136, -161.542542
268579.15789972374, 32.716404, -161.582657
271614.0610840923, 32.678284, -161.07608
274683.2582077617, 32.851578, -161.550613
277787.13678697316, 32.586239, -161.645264
280926.08871684084, 32.739582, -163.590195
284100.5103208331, 32.836605, -166.686584
287310.802400814, 32.772964, -163.105713
290557.37028764695, 32.875755, 191.602005
293840.6238923705, 33.036484, -165.018326
297160.9777579551, 32.95108, -167.068649
300518.851111644, 32.589821, -162.559311
303914.667917884, 32.595322, -163.366959
