Freq.	V(out_preamp)
1.84501541917945e+00	(1.99999044536547e+01dB,1.79999988371831e+02°)
1.84926861897805e+00	(1.99999044536547e+01dB,1.79999988345025e+02°)
1.85353162341479e+00	(1.99999044536547e+01dB,1.79999988318158e+02°)
1.85780445509167e+00	(1.99999044536547e+01dB,1.79999988291229e+02°)
1.86208713666284e+00	(1.99999044536547e+01dB,1.79999988264237e+02°)
1.86637969083464e+00	(1.99999044536547e+01dB,1.79999988237183e+02°)
1.87068214036577e+00	(1.99999044536547e+01dB,1.79999988210067e+02°)
1.87499450806739e+00	(1.99999044536547e+01dB,1.79999988182889e+02°)
1.87931681680324e+00	(1.99999044536547e+01dB,1.79999988155647e+02°)
1.88364908948977e+00	(1.99999044536547e+01dB,1.79999988128343e+02°)
1.88799134909627e+00	(1.99999044536547e+01dB,1.79999988100976e+02°)
1.89234361864495e+00	(1.99999044536547e+01dB,1.79999988073546e+02°)
1.89670592121112e+00	(1.99999044536547e+01dB,1.79999988046053e+02°)
1.90107827992327e+00	(1.99999044536547e+01dB,1.79999988018496e+02°)
1.90546071796322e+00	(1.99999044536547e+01dB,1.79999987990876e+02°)
1.90985325856621e+00	(1.99999044536547e+01dB,1.79999987963192e+02°)
1.91425592502106e+00	(1.99999044536547e+01dB,1.79999987935444e+02°)
1.91866874067026e+00	(1.99999044536547e+01dB,1.79999987907633e+02°)
1.92309172891013e+00	(1.99999044536547e+01dB,1.79999987879757e+02°)
1.92752491319091e+00	(1.99999044536547e+01dB,1.79999987851817e+02°)
1.93196831701690e+00	(1.99999044536547e+01dB,1.79999987823812e+02°)
1.93642196394658e+00	(1.99999044536547e+01dB,1.79999987795743e+02°)
1.94088587759275e+00	(1.99999044536547e+01dB,1.79999987767610e+02°)
1.94536008162263e+00	(1.99999044536547e+01dB,1.79999987739411e+02°)
1.94984459975802e+00	(1.99999044536547e+01dB,1.79999987711148e+02°)
1.95433945577537e+00	(1.99999044536547e+01dB,1.79999987682819e+02°)
1.95884467350596e+00	(1.99999044536547e+01dB,1.79999987654425e+02°)
1.96336027683602e+00	(1.99999044536547e+01dB,1.79999987625965e+02°)
1.96788628970682e+00	(1.99999044536547e+01dB,1.79999987597440e+02°)
1.97242273611482e+00	(1.99999044536547e+01dB,1.79999987568849e+02°)
1.97696964011183e+00	(1.99999044536547e+01dB,1.79999987540193e+02°)
1.98152702580507e+00	(1.99999044536547e+01dB,1.79999987511470e+02°)
1.98609491735734e+00	(1.99999044536547e+01dB,1.79999987482681e+02°)
1.99067333898716e+00	(1.99999044536547e+01dB,1.79999987453825e+02°)
1.99526231496885e+00	(1.99999044536547e+01dB,1.79999987424903e+02°)
1.99986186963271e+00	(1.99999044536547e+01dB,1.79999987395915e+02°)
2.00447202736513e+00	(1.99999044536547e+01dB,1.79999987366859e+02°)
2.00909281260870e+00	(1.99999044536547e+01dB,1.79999987337737e+02°)
2.01372424986236e+00	(1.99999044536547e+01dB,1.79999987308547e+02°)
2.01836636368153e+00	(1.99999044536547e+01dB,1.79999987279291e+02°)
2.02301917867824e+00	(1.99999044536547e+01dB,1.79999987249966e+02°)
2.02768271952125e+00	(1.99999044536547e+01dB,1.79999987220575e+02°)
2.03235701093619e+00	(1.99999044536547e+01dB,1.79999987191115e+02°)
2.03704207770569e+00	(1.99999044536547e+01dB,1.79999987161587e+02°)
2.04173794466950e+00	(1.99999044536547e+01dB,1.79999987131992e+02°)
2.04644463672464e+00	(1.99999044536547e+01dB,1.79999987102328e+02°)
2.05116217882553e+00	(1.99999044536547e+01dB,1.79999987072596e+02°)
2.05589059598411e+00	(1.99999044536547e+01dB,1.79999987042795e+02°)
2.06062991326997e+00	(1.99999044536547e+01dB,1.79999987012926e+02°)
2.06538015581050e+00	(1.99999044536547e+01dB,1.79999986982987e+02°)
2.07014134879101e+00	(1.99999044536547e+01dB,1.79999986952980e+02°)
2.07491351745488e+00	(1.99999044536547e+01dB,1.79999986922903e+02°)
2.07969668710366e+00	(1.99999044536547e+01dB,1.79999986892758e+02°)
2.08449088309726e+00	(1.99999044536547e+01dB,1.79999986862542e+02°)
2.08929613085401e+00	(1.99999044536547e+01dB,1.79999986832257e+02°)
2.09411245585086e+00	(1.99999044536546e+01dB,1.79999986801903e+02°)
2.09893988362349e+00	(1.99999044536546e+01dB,1.79999986771478e+02°)
2.10377843976644e+00	(1.99999044536546e+01dB,1.79999986740983e+02°)
2.10862814993326e+00	(1.99999044536546e+01dB,1.79999986710418e+02°)
2.11348903983661e+00	(1.99999044536546e+01dB,1.79999986679782e+02°)
2.11836113524847e+00	(1.99999044536546e+01dB,1.79999986649076e+02°)
2.12324446200018e+00	(1.99999044536546e+01dB,1.79999986618299e+02°)
2.12813904598268e+00	(1.99999044536546e+01dB,1.79999986587451e+02°)
2.13304491314654e+00	(1.99999044536546e+01dB,1.79999986556532e+02°)
2.13796208950220e+00	(1.99999044536546e+01dB,1.79999986525541e+02°)
2.14289060112002e+00	(1.99999044536546e+01dB,1.79999986494479e+02°)
2.14783047413050e+00	(1.99999044536546e+01dB,1.79999986463346e+02°)
2.15278173472434e+00	(1.99999044536546e+01dB,1.79999986432141e+02°)
2.15774440915263e+00	(1.99999044536546e+01dB,1.79999986400864e+02°)
2.16271852372698e+00	(1.99999044536546e+01dB,1.79999986369514e+02°)
2.16770410481966e+00	(1.99999044536546e+01dB,1.79999986338093e+02°)
2.17270117886371e+00	(1.99999044536546e+01dB,1.79999986306599e+02°)
2.17770977235312e+00	(1.99999044536546e+01dB,1.79999986275032e+02°)
2.18272991184296e+00	(1.99999044536546e+01dB,1.79999986243393e+02°)
2.18776162394952e+00	(1.99999044536546e+01dB,1.79999986211681e+02°)
2.19280493535041e+00	(1.99999044536546e+01dB,1.79999986179895e+02°)
2.19785987278479e+00	(1.99999044536546e+01dB,1.79999986148037e+02°)
2.20292646305342e+00	(1.99999044536546e+01dB,1.79999986116105e+02°)
2.20800473301886e+00	(1.99999044536546e+01dB,1.79999986084099e+02°)
2.21309470960560e+00	(1.99999044536546e+01dB,1.79999986052020e+02°)
2.21819641980018e+00	(1.99999044536546e+01dB,1.79999986019866e+02°)
2.22330989065136e+00	(1.99999044536546e+01dB,1.79999985987639e+02°)
2.22843514927026e+00	(1.99999044536546e+01dB,1.79999985955337e+02°)
2.23357222283049e+00	(1.99999044536546e+01dB,1.79999985922960e+02°)
2.23872113856830e+00	(1.99999044536546e+01dB,1.79999985890510e+02°)
2.24388192378273e+00	(1.99999044536546e+01dB,1.79999985857984e+02°)
2.24905460583574e+00	(1.99999044536546e+01dB,1.79999985825383e+02°)
2.25423921215239e+00	(1.99999044536546e+01dB,1.79999985792707e+02°)
2.25943577022094e+00	(1.99999044536546e+01dB,1.79999985759956e+02°)
2.26464430759302e+00	(1.99999044536546e+01dB,1.79999985727129e+02°)
2.26986485188378e+00	(1.99999044536546e+01dB,1.79999985694227e+02°)
2.27509743077203e+00	(1.99999044536546e+01dB,1.79999985661249e+02°)
2.28034207200038e+00	(1.99999044536546e+01dB,1.79999985628195e+02°)
2.28559880337539e+00	(1.99999044536546e+01dB,1.79999985595064e+02°)
2.29086765276773e+00	(1.99999044536546e+01dB,1.79999985561857e+02°)
2.29614864811232e+00	(1.99999044536546e+01dB,1.79999985528574e+02°)
2.30144181740847e+00	(1.99999044536546e+01dB,1.79999985495214e+02°)
2.30674718872003e+00	(1.99999044536546e+01dB,1.79999985461777e+02°)
