time	V(out_fs)
1.605678082869476e-08	6.061144e-01
1.606992806689584e-08	6.068896e-01
1.608307530509691e-08	6.076642e-01
1.609622254329798e-08	6.084383e-01
1.610936978149905e-08	6.092118e-01
1.620340103254018e-08	6.147265e-01
1.620540180060020e-08	6.148435e-01
1.620940333672024e-08	6.150775e-01
1.622369309184813e-08	6.159125e-01
1.623798284697602e-08	6.167469e-01
1.625227260210391e-08	6.175805e-01
1.626656235723180e-08	6.184133e-01
1.628085211235969e-08	6.192455e-01
1.629514186748759e-08	6.200770e-01
1.630943162261547e-08	6.209077e-01
1.632285704053868e-08	6.216874e-01
1.633628245846189e-08	6.224665e-01
1.634970787638510e-08	6.232449e-01
1.636313329430830e-08	6.240226e-01
1.637655871223151e-08	6.247997e-01
1.638998413015472e-08	6.255761e-01
1.640340954807793e-08	6.263519e-01
1.640546848949650e-08	6.264709e-01
1.641782213800794e-08	6.271839e-01
1.643026179768772e-08	6.279013e-01
1.644270145736749e-08	6.286182e-01
1.645514111704726e-08	6.293344e-01
1.646758077672703e-08	6.300502e-01
1.648002043640681e-08	6.307653e-01
1.649246009608658e-08	6.314798e-01
1.650489975576635e-08	6.321938e-01
1.650550183394465e-08	6.322283e-01
1.650670599030125e-08	6.322974e-01
1.650911430301444e-08	6.324355e-01
1.653073855616288e-08	6.336747e-01
1.655236280931132e-08	6.349120e-01
1.657398706245975e-08	6.361474e-01
1.659561131560819e-08	6.373810e-01
1.661723556875663e-08	6.386127e-01
1.663885982190506e-08	6.398425e-01
1.666048407505350e-08	6.410705e-01
1.670236509534191e-08	6.434433e-01
1.674424611563032e-08	6.458087e-01
1.678612713591872e-08	6.481666e-01
1.682800815620713e-08	6.505170e-01
1.686988917649554e-08	6.528599e-01
1.691177019678395e-08	6.551954e-01
1.695365121707236e-08	6.575235e-01
1.696879912351738e-08	6.583634e-01
1.698394702996241e-08	6.592023e-01
1.699909493640743e-08	6.600403e-01
1.701424284285246e-08	6.608772e-01
1.702939074929748e-08	6.617132e-01
1.704453865574250e-08	6.625481e-01
1.705968656218753e-08	6.633821e-01
1.707397703996536e-08	6.641677e-01
1.708826751774319e-08	6.649524e-01
1.710255799552102e-08	6.657362e-01
1.711684847329885e-08	6.665191e-01
1.713113895107668e-08	6.673011e-01
1.714542942885452e-08	6.680822e-01
1.715971990663235e-08	6.688623e-01
1.723031304927069e-08	6.727026e-01
1.730090619190902e-08	6.765188e-01
1.737149933454736e-08	6.803109e-01
1.744209247718570e-08	6.840789e-01
1.751268561982403e-08	6.878229e-01
1.758327876246237e-08	6.915427e-01
1.765387190510071e-08	6.952385e-01
1.775170767671414e-08	7.003195e-01
1.784954344832758e-08	7.053501e-01
1.794737921994101e-08	7.103304e-01
1.804521499155445e-08	7.152603e-01
1.814305076316788e-08	7.201400e-01
1.824088653478132e-08	7.249693e-01
1.833872230639475e-08	7.297482e-01
1.839122417859606e-08	7.322909e-01
1.844372605079737e-08	7.348182e-01
1.849622792299869e-08	7.373302e-01
1.854872979520000e-08	7.398270e-01
1.860123166740131e-08	7.423084e-01
1.865373353960262e-08	7.447745e-01
1.870623541180393e-08	7.472253e-01
1.897872624208074e-08	7.596930e-01
1.900433477825951e-08	7.608433e-01
1.900633544514838e-08	7.609331e-01
1.901833944648161e-08	7.614704e-01
1.911037012337887e-08	7.655645e-01
1.920440146720870e-08	7.696967e-01
1.920640213404468e-08	7.697841e-01
1.921840613506059e-08	7.703075e-01
1.926356550964151e-08	7.722702e-01
1.930872488422242e-08	7.742208e-01
1.935388425880334e-08	7.761593e-01
1.939904363338426e-08	7.780857e-01
1.944420300796518e-08	7.800001e-01
1.948936238254610e-08	7.819024e-01
1.953452175712701e-08	7.837926e-01
1.955875384034486e-08	7.848021e-01
1.958298592356270e-08	7.858081e-01
1.960721800678055e-08	7.868105e-01
1.963145008999839e-08	7.878094e-01
1.965568217321624e-08	7.888048e-01
1.967991425643408e-08	7.897966e-01
1.970414633965193e-08	7.907849e-01
1.970656885628543e-08	7.908836e-01
1.972110395608645e-08	7.914742e-01
1.974117198907739e-08	7.922880e-01
1.976124002206834e-08	7.930993e-01
1.978130805505928e-08	7.939083e-01
1.980137608805023e-08	7.947148e-01
1.982144412104118e-08	7.955189e-01
1.984151215403212e-08	7.963205e-01
1.986158018702307e-08	7.971197e-01
