time	V(out_preamp)
1.091878245130116e-08	-2.828077e-02
1.094536273997289e-08	-2.836633e-02
1.097194302864462e-08	-2.845149e-02
1.099852331731636e-08	-2.853625e-02
1.102510360598809e-08	-2.862061e-02
1.105168389465982e-08	-2.870457e-02
1.105368456152051e-08	-2.871088e-02
1.106568856268461e-08	-2.874861e-02
1.108861049015117e-08	-2.882032e-02
1.111153241761774e-08	-2.889179e-02
1.113445434508430e-08	-2.896302e-02
1.115737627255087e-08	-2.903402e-02
1.118029820001743e-08	-2.910479e-02
1.120322012748400e-08	-2.917531e-02
1.122614205495056e-08	-2.924560e-02
1.125775255161711e-08	-2.934317e-02
1.135178353704450e-08	-2.963548e-02
1.135378459486495e-08	-2.964173e-02
1.136579094178766e-08	-2.967920e-02
1.145182665477983e-08	-2.994811e-02
1.145381793931310e-08	-2.995434e-02
1.145780050837964e-08	-2.996679e-02
1.150383461153718e-08	-3.011069e-02
1.151812508931549e-08	-3.015532e-02
1.153241556709379e-08	-3.019993e-02
1.154670604487210e-08	-3.024451e-02
1.156099652265041e-08	-3.028906e-02
1.157528700042871e-08	-3.033359e-02
1.158957747820702e-08	-3.037810e-02
1.160386795598533e-08	-3.042258e-02
1.170390130043348e-08	-3.073811e-02
1.171757688244049e-08	-3.078185e-02
1.176727874432969e-08	-3.094227e-02
1.181698060621889e-08	-3.110312e-02
1.186668246810808e-08	-3.126439e-02
1.191638432999728e-08	-3.142609e-02
1.196608619188648e-08	-3.158822e-02
1.201578805377567e-08	-3.175077e-02
1.206548991566487e-08	-3.191374e-02
1.208078579521536e-08	-3.196364e-02
1.214992231687754e-08	-3.218863e-02
1.215405135045015e-08	-3.220204e-02
1.215894603190631e-08	-3.221792e-02
1.217387981067600e-08	-3.226634e-02
1.218881358944568e-08	-3.231468e-02
1.220374736821537e-08	-3.236296e-02
1.221868114698506e-08	-3.241116e-02
1.223361492575475e-08	-3.245930e-02
1.224854870452444e-08	-3.250736e-02
1.226348248329412e-08	-3.255535e-02
1.230107363687741e-08	-3.267574e-02
1.230410136712237e-08	-3.268543e-02
1.231910636878960e-08	-3.273328e-02
1.252657552517510e-08	-3.338460e-02
1.255218406135387e-08	-3.346396e-02
1.255418472824275e-08	-3.347016e-02
1.255818606202049e-08	-3.348257e-02
1.256618872957598e-08	-3.350743e-02
1.260420140046682e-08	-3.362586e-02
1.261380460153341e-08	-3.365590e-02
1.262357928833818e-08	-3.368652e-02
1.263335397514295e-08	-3.371717e-02
1.264312866194772e-08	-3.374785e-02
1.265290334875249e-08	-3.377857e-02
1.266267803555726e-08	-3.380932e-02
1.267245272236203e-08	-3.384010e-02
1.268222740916679e-08	-3.387092e-02
1.271383794599242e-08	-3.397068e-02
1.275225075030223e-08	-3.409218e-02
1.275425141713905e-08	-3.409851e-02
1.275825275081269e-08	-3.411118e-02
1.278226075285455e-08	-3.418723e-02
1.285228409344683e-08	-3.440911e-02
1.285428476158720e-08	-3.441545e-02
1.285828609786792e-08	-3.442812e-02
1.286628877042938e-08	-3.445346e-02
1.287943600033176e-08	-3.449510e-02
1.289258323023414e-08	-3.453670e-02
1.290573046013652e-08	-3.457829e-02
1.291887769003890e-08	-3.461985e-02
1.293202491994128e-08	-3.466138e-02
1.294517214984366e-08	-3.470288e-02
1.295831937974604e-08	-3.474437e-02
1.296809402707365e-08	-3.477518e-02
1.297786867440126e-08	-3.480597e-02
1.298764332172887e-08	-3.483673e-02
1.299741796905648e-08	-3.486747e-02
1.300719261638409e-08	-3.489818e-02
1.301696726371170e-08	-3.492887e-02
1.302674191103931e-08	-3.495953e-02
1.305235006278776e-08	-3.503976e-02
1.305435145048349e-08	-3.504603e-02
1.305835422587497e-08	-3.505854e-02
1.306635977665793e-08	-3.508355e-02
1.309322525704677e-08	-3.516739e-02
1.312009073743560e-08	-3.525094e-02
1.314695621782444e-08	-3.533420e-02
1.317382169821328e-08	-3.541716e-02
1.320068717860212e-08	-3.549983e-02
1.322755265899096e-08	-3.558222e-02
1.325441813937979e-08	-3.566431e-02
1.326891324893194e-08	-3.570841e-02
1.340083583439482e-08	-3.610524e-02
1.340446815605202e-08	-3.611605e-02
1.341931114823342e-08	-3.616006e-02
1.343283827212811e-08	-3.620010e-02
1.344636539602280e-08	-3.624004e-02
1.345989251991750e-08	-3.627988e-02
1.347341964381219e-08	-3.631961e-02
1.348694676770688e-08	-3.635923e-02
