time	V(input_bode)	V(out)	V(out_fs)	V(out_preamp)
4.109083980369320e-09	2.819527e-03	4.000000e-08	2.238736e-02	-1.017345e-02
4.116800838364515e-09	2.821439e-03	4.000000e-08	2.252164e-02	-1.020069e-02
4.124517696359710e-09	2.823440e-03	4.000000e-08	2.265618e-02	-1.022793e-02
4.132234554354905e-09	2.825532e-03	4.000000e-08	2.279097e-02	-1.025516e-02
4.139951412350101e-09	2.827713e-03	4.000000e-08	2.292602e-02	-1.028237e-02
4.147668270345296e-09	2.829984e-03	4.000000e-08	2.306132e-02	-1.030958e-02
4.155385128340491e-09	2.832345e-03	4.000000e-08	2.319689e-02	-1.033677e-02
4.173105321645937e-09	2.837423e-03	4.000000e-08	2.350961e-02	-1.039922e-02
4.190825514951382e-09	2.841986e-03	4.000000e-08	2.382392e-02	-1.046155e-02
4.208545708256828e-09	2.846034e-03	4.000000e-08	2.413981e-02	-1.052377e-02
4.226265901562274e-09	2.849567e-03	4.000000e-08	2.445727e-02	-1.058587e-02
4.243986094867720e-09	2.852584e-03	4.000000e-08	2.477631e-02	-1.064786e-02
4.261706288173165e-09	2.855085e-03	4.000000e-08	2.509693e-02	-1.070973e-02
4.279426481478611e-09	2.857071e-03	4.000000e-08	2.541912e-02	-1.077149e-02
4.451483827942648e-09	2.851569e-03	4.000000e-08	2.862354e-02	-1.135929e-02
4.501500500166722e-09	2.846839e-03	4.000000e-08	2.958074e-02	-1.152517e-02
4.511104883537424e-09	2.847228e-03	4.000000e-08	2.976592e-02	-1.155677e-02
4.523910728031692e-09	2.849954e-03	4.000000e-08	3.001356e-02	-1.159886e-02
4.551517172390796e-09	2.861615e-03	4.000000e-08	3.054891e-02	-1.168959e-02
4.559118355364651e-09	2.865715e-03	4.000000e-08	3.069714e-02	-1.171462e-02
4.566719538338506e-09	2.869839e-03	4.000000e-08	3.084558e-02	-1.173966e-02
4.574320721312360e-09	2.873987e-03	4.000000e-08	3.099421e-02	-1.176472e-02
4.581921904286215e-09	2.878160e-03	4.000000e-08	3.114303e-02	-1.178980e-02
4.589523087260070e-09	2.882357e-03	4.000000e-08	3.129206e-02	-1.181490e-02
4.597124270233924e-09	2.886578e-03	4.000000e-08	3.144128e-02	-1.184002e-02
4.604725453207779e-09	2.890823e-03	4.000000e-08	3.159070e-02	-1.186515e-02
4.655835603499853e-09	2.916215e-03	4.000000e-08	3.260272e-02	-1.203475e-02
4.702588120628051e-09	2.933905e-03	4.000000e-08	3.353843e-02	-1.219122e-02
4.749340637756247e-09	2.947929e-03	4.000000e-08	3.448314e-02	-1.234673e-02
4.796093154884445e-09	2.958287e-03	4.000000e-08	3.543684e-02	-1.250127e-02
4.842845672012641e-09	2.964979e-03	4.000000e-08	3.639954e-02	-1.265486e-02
4.889598189140839e-09	2.968006e-03	4.000000e-08	3.737123e-02	-1.280749e-02
4.936350706269036e-09	2.967367e-03	4.000000e-08	3.835192e-02	-1.295915e-02
4.983103223397233e-09	2.963062e-03	4.000000e-08	3.934161e-02	-1.310986e-02
5.050062373258219e-09	2.952446e-03	4.000000e-08	4.077505e-02	-1.332201e-02
5.117021523119207e-09	2.938864e-03	4.000000e-08	4.222285e-02	-1.352860e-02
5.183980672980193e-09	2.922316e-03	4.000000e-08	4.368502e-02	-1.372961e-02
5.250939822841181e-09	2.902804e-03	4.000000e-08	4.516156e-02	-1.392504e-02
5.317898972702167e-09	2.880326e-03	4.000000e-08	4.665247e-02	-1.411491e-02
5.384858122563155e-09	2.854883e-03	4.000000e-08	4.815775e-02	-1.429920e-02
5.451817272424141e-09	2.826474e-03	4.000000e-08	4.967739e-02	-1.447792e-02
5.463396261237730e-09	2.822982e-03	4.000000e-08	4.994103e-02	-1.450804e-02
